category,years_on_force,number_since_same_type,number_since_total,number_same_type_after
Verbal Abuse,2,0,2,0
Operation/Personnel Violations,1,0,1,1
Verbal Abuse,1,0,3,0
Illegal Search,2,2,7,3
Illegal Search,2,0,1,3
Operation/Personnel Violations,1,0,0,1
Traffic,1,0,3,0
Operation/Personnel Violations,1,0,6,0
Use Of Force,2,1,8,11
Use Of Force,2,3,5,6
Operation/Personnel Violations,1,0,0,0
False Arrest,1,0,0,1
Illegal Search,1,0,2,0
Operation/Personnel Violations,2,2,5,0
Operation/Personnel Violations,1,0,1,3
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,2,0,3,8
Domestic,2,0,3,0
Traffic,1,0,0,0
Illegal Search,1,0,0,1
Operation/Personnel Violations,1,0,0,0
Use Of Force,2,0,7,0
Operation/Personnel Violations,1,0,0,3
Operation/Personnel Violations,2,1,5,1
Operation/Personnel Violations,0,0,0,0
Use Of Force,1,0,5,1
Use Of Force,2,1,4,8
Use Of Force,2,2,3,2
Operation/Personnel Violations,2,2,4,2
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,1,9,2
Operation/Personnel Violations,1,0,3,1
Illegal Search,2,0,6,8
Operation/Personnel Violations,1,0,4,0
Operation/Personnel Violations,1,0,6,2
Traffic,1,0,3,0
Use Of Force,1,0,7,2
Verbal Abuse,2,0,5,0
Lockup Procedures,1,0,0,1
Operation/Personnel Violations,1,1,4,1
Operation/Personnel Violations,2,1,4,0
Lockup Procedures,1,0,1,0
Lockup Procedures,1,0,1,0
Domestic,1,0,1,0
Domestic,2,2,4,0
Illegal Search,1,0,0,0
Operation/Personnel Violations,1,0,0,2
Illegal Search,2,0,4,0
Operation/Personnel Violations,1,0,1,2
Verbal Abuse,0,0,1,0
Traffic,1,0,2,0
Lockup Procedures,2,0,1,1
Lockup Procedures,1,0,2,0
Use Of Force,1,0,0,0
Lockup Procedures,1,0,1,0
Lockup Procedures,1,0,0,0
Lockup Procedures,1,0,0,1
Domestic,0,0,0,3
Lockup Procedures,2,0,5,0
Operation/Personnel Violations,2,0,0,3
Domestic,0,0,4,0
Illegal Search,0,0,0,0
Operation/Personnel Violations,0,0,0,1
Operation/Personnel Violations,1,0,0,2
